Ubs,V;Ibs,A;Isun,A;Ipt1,A;Ipt2,A;Ipt3,A;Ipt4,A;Ipt5,A;Ipt6,A;Ipt7,A;Ipt10,A;Ipt11,A;Ipt12,A;Ipt13,A;Ipt14,A;Ipt15,A;Ipt16,A;Ipt17,A;TR1,C;TR2,C;TR3,C;TR4,C;TR5,C;TR6,C;TR7,C;TR8,C;TR9,C;TR10,C;TR11,C;TR12,C;TR13,C;TR14,C;TR15,C;TR16,C;TDS1,C;TDS2,C;TDS3,C;TDS4,C;TDS5,C;TDS6,C;TDS7,C;TDS8,C;TDS9,C;TKpt,C;TGbv,C;TNap,C;TPrd2,C;TPrd1,C;TDS24,C;Class
14,76;0,21;0,93;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;20;19;17;9;11;17;18;16;13;20;12;20;22;20;21;18;19;18;18;19;18;18;18;18;25;17;17;19;18;21;0
14,83;0,21;1,09;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;20;19;17;9;11;17;18;16;15;20;12;20;22;20;21;18;19;19;19;19;18;18;18;18;25;17;17;19;18;21;0
14,83;0,21;0,96;0,04;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;20;19;17;9;12;17;18;16;15;19;14;18;22;20;22;18;19;19;19;19;19;18;18;18;25;17;17;19;18;21;0
14,76;0,24;0,08;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;19;17;9;12;17;20;16;15;19;12;18;22;20;21;19;19;19;19;19;19;18;18;18;25;17;17;19;19;21;0
14,83;0,21;0,93;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;19;18;9;12;17;18;16;15;19;12;18;24;21;21;19;19;19;19;19;19;19;18;18;25;17;17;19;19;21;0
14,76;0,21;0,24;0,07;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;19;17;9;12;17;20;16;15;17;12;20;22;20;21;19;19;19;19;19;19;19;19;18;26;17;17;19;19;22;0
14,83;0,27;0,88;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;20;19;17;9;12;17;18;16;15;17;12;18;22;20;21;19;19;19;19;19;19;19;19;18;26;17;17;19;19;22;0
14,76;0,27;0,40;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;19;18;10;12;17;18;16;15;17;12;20;22;20;21;19;19;19;19;19;19;19;19;18;26;18;17;19;19;22;0
14,76;0,24;0,56;0,07;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;19;18;10;12;17;20;17;15;17;12;18;22;21;19;19;19;19;19;19;19;19;19;19;26;18;17;19;19;22;0
14,83;0,24;0,61;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;20;19;18;10;12;17;18;16;15;16;12;20;22;20;19;19;19;19;19;19;19;19;19;19;26;18;17;19;19;22;0
